P_val 	T_val 	x_val 	y_val 	y_calc	absolute_deviation 	relative_deviation 
0.3530E+00	0.2781E+03	0.4215E+02	0.3600E-02	0.3612E-02	-.1189E-04	-.3303E-02
0.2638E+01	0.2731E+03	0.4215E+02	0.2353E-01	0.2361E-01	-.8328E-04	-.3539E-02
0.1128E+01	0.2731E+03	0.4215E+02	0.1262E-01	0.1249E-01	0.1268E-03	0.1005E-01
0.3400E+00	0.2731E+03	0.4215E+02	0.4090E-02	0.4146E-02	-.5585E-04	-.1366E-01
0.4810E+01	0.2981E+03	0.4244E+02	0.2020E-01	0.1991E-01	0.2854E-03	0.1413E-01
0.2686E+01	0.2981E+03	0.4244E+02	0.1292E-01	0.1296E-01	-.3595E-04	-.2782E-02
0.1296E+01	0.2981E+03	0.4244E+02	0.7010E-02	0.6884E-02	0.1257E-03	0.1793E-01
0.4170E+00	0.2981E+03	0.4244E+02	0.2350E-02	0.2425E-02	-.7499E-04	-.3191E-01
0.4777E+01	0.2931E+03	0.4244E+02	0.2064E-01	0.2097E-01	-.3342E-03	-.1619E-01
0.2656E+01	0.2931E+03	0.4244E+02	0.1420E-01	0.1426E-01	-.6015E-04	-.4236E-02
0.1276E+01	0.2931E+03	0.4244E+02	0.7760E-02	0.7668E-02	0.9153E-04	0.1180E-01
0.4100E+00	0.2931E+03	0.4244E+02	0.2580E-02	0.2637E-02	-.5691E-04	-.2206E-01
0.4737E+01	0.2881E+03	0.4244E+02	0.2271E-01	0.2234E-01	0.3725E-03	0.1640E-01
0.2620E+01	0.2881E+03	0.4244E+02	0.1583E-01	0.1590E-01	-.6880E-04	-.4346E-02
0.1252E+01	0.2881E+03	0.4244E+02	0.8740E-02	0.8667E-02	0.7250E-04	0.8295E-02
0.4010E+00	0.2881E+03	0.4244E+02	0.2900E-02	0.2953E-02	-.5283E-04	-.1822E-01
0.2577E+01	0.2831E+03	0.4244E+02	0.1787E-01	0.1786E-01	0.1250E-04	0.6993E-03
0.1224E+01	0.2831E+03	0.4244E+02	0.9880E-02	0.9863E-02	0.1745E-04	0.1766E-02
0.3910E+00	0.2831E+03	0.4244E+02	0.3310E-02	0.3370E-02	-.5983E-04	-.1808E-01
0.2525E+01	0.2781E+03	0.4244E+02	0.2006E-01	0.2011E-01	-.5191E-04	-.2588E-02
0.1189E+01	0.2781E+03	0.4244E+02	0.1126E-01	0.1121E-01	0.5356E-04	0.4756E-02
0.3790E+00	0.2781E+03	0.4244E+02	0.3810E-02	0.3868E-02	-.5849E-04	-.1535E-01
0.2484E+01	0.2731E+03	0.4244E+02	0.2271E-01	0.2275E-01	-.4422E-04	-.1947E-02
0.1151E+01	0.2731E+03	0.4244E+02	0.1283E-01	0.1270E-01	0.1314E-03	0.1025E-01
0.3640E+00	0.2731E+03	0.4244E+02	0.4340E-02	0.4422E-02	-.8152E-04	-.1878E-01
0.4728E+01	0.2981E+03	0.4433E+02	0.1981E-01	0.1958E-01	0.2330E-03	0.1176E-01
0.2708E+01	0.2981E+03	0.4433E+02	0.1293E-01	0.1297E-01	-.3795E-04	-.2935E-02
0.1317E+01	0.2981E+03	0.4433E+02	0.7080E-02	0.6949E-02	0.1308E-03	0.1847E-01
0.3250E+00	0.2981E+03	0.4433E+02	0.1820E-02	0.1926E-02	-.1057E-03	-.5807E-01
0.4697E+01	0.2931E+03	0.4433E+02	0.2035E-01	0.2067E-01	-.3228E-03	-.1586E-01
